File Name,ICE_Convicted Criminal,CBP_Convicted Criminal,ICE_Pending Charges,CBP_Pending Charges,ICE_other Violator,CBP_other Violator,EID Date
20210113002029-FY21-detentionstats.xlsx,7498,691,2623,241,589,3802,01/02/2021
20210116004728-FY21-detentionstats.xlsx,7498,691,2623,241,589,3802,01/02/2021
20210211010540-FY21-detentionstats.xlsx,6793,569,2105,201,523,3904,01/30/2021
20210305071417-FY21_detention-stats.xlsx,6218,528,1655,235,478,4144,02/13/2021
20210310184436-FY21_detention-stats_0301.xlsx,5911,541,1358,234,423,5062,02/27/2021
20210312045723-FY21_detention-stats_0301.xlsx,5911,541,1358,234,423,5062,02/27/2021
20210313053517-FY21_detention-stats_0301.xlsx,5911,541,1358,234,423,5062,02/27/2021
20210318000237-FY21_detention-stats_0317.xlsx,5412,445,1030,222,437,6506,03/13/2021
20210404155014-FY21_detention-stats_0331.xlsx,4785,392,720,199,270,7548,03/27/2021
20210415122347-FY21_detention-stats_0414.xlsx,4389,376,586,240,331,9214,04/10/2021
20210612232349-FY21_detentionStats061121.xlsx,3915,423,433,604,257,18831,06/20/2020
20210625005023-FY21_detentionStats062421.xlsx,3940,459,422,678,306,20417,06/19/2021
20210709044723-FY21_detentionStats07082021.xlsx,3922,511,424,693,258,21409,07/03/2021
20210723183806-FY21_detentionStats07222020.xlsx,3873,566,439,639,236,21018,07/17/2021
20210807005406-FY21_detentionStats08062021.xlsx,3881,621,426,545,248,19805,07/31/2021
20210825114959-FY21_detentionStats08242021.xlsx,3895,600,446,389,248,19584,08/14/2021
20210909182415-FY21_detentionStats08242021.xlsx,3895,600,446,389,248,19584,08/14/2021
20210913205619-FY21_detentionStats09132021.xlsx,3861,582,482,326,194,17569,08/28/2021
20210916232610-FY21_detentionStats09162021.xlsx,3965,588,478,293,180,16062,09/11/2021
20211001201831-FY21_detentionStats10012021.xlsx,3948,589,525,327,523,16217,09/25/2021
20211008015346-FY21_detentionStats10072021.xlsx,3948,589,525,327,523,16217,10/02/2020
20211113090250-FY21_detentionStats11122021.xlsx,3965,588,478,293,180,16062,09/11/2021
20211209185412-FY21-detentionstats.xlsx,3965,588,478,293,180,16062,09/11/2021
20211218140348-FY21-detentionstats.xlsx,3965,588,478,293,180,16062,09/11/2021
20211230060058-FY21-detentionstats.xlsx,3965,588,478,293,180,16062,09/11/2021
20220111045516-FY22_detentionStats01102022.xlsx,3868,603,580,280,210,16527,01/01/2022
20220122085702-FY22_detentionStats01202022.xlsx,3924,610,580,270,217,15285,01/15/2022
20220209195702-FY22_detentionStats01202022.xlsx,3924,610,580,270,217,15285,01/15/2022
20220217041740-FY22_detentionStats_02162022.xlsx,4076,651,632,367,203,14019,02/12/2022
20220219190357-FY22_detentionStats_02162022.xlsx,4076,651,632,367,203,14019,02/12/2022
20220303092045-FY22_detentionStats_03022022.xlsx,4037,629,657,325,195,12141,02/26/2022
20220308044535-FY22_detentionStats_03022022.xlsx,4037,629,657,325,195,12141,02/26/2022
20220315070815-FY22_detentionStats_03022022.xlsx,4037,629,657,325,195,12141,02/26/2022
20220317012812-FY22_detentionStats_03022022.xlsx,4037,629,657,325,195,12141,02/26/2022
20220318014755-FY22_detentionStats03172022b.xlsx,4093,599,710,339,204,14201,03/12/2022
20220331210051-FY22_detentionStats_03312022.xlsx,4042,579,709,370,309,14724,03/26/2022
20220414181154-FY22_detentionStats04132022.xlsx,4028,601,790,292,394,12741,04/09/2022
20220428125157-FY22_detentionStats04282022.xlsx,4142,738,829,348,344,13101,04/23/2022
20220505072156-FY22_detentionStats05042022.xlsx,4142,738,829,348,344,13101,04/23/2022
